cidade_estado,cidade_estado_corrigido,geopoint
Abelardo Luz-SC,Abelardo Luz-SC,"-26.5705893,-52.3280339"
Acreuna-GO,Acreúna-GO,"-17.3959899,-50.3749031"
Agua Clara-MS,Água Clara-MS,"-20.4385757,-52.8797496"
Agua Friade Goias-GO,Água Fria de Goiás-GO,"-14.9803368,-47.7824312"
Alto Araguaia-MT,Alto Araguaia-MT,"-17.3156528,-53.2169365"
Alto Garcas-MT,Alto Garças-MT,"-16.9469683,-53.529427"
Alto Taquari-MT,Alto Taquari-MT,"-17.8269099,-53.2831736"
Amambai-MS,Amambai-MS,"-23.1082701,-55.2284854"
Amaraji-PE,Amaraji-PE,"-8.373925,-35.4536527"
Andradina-SP,Andradina-SP,"-20.896505,-51.3742765"
Antonio Joao-MS,Antônio João-MS,"-22.1892837,-55.9508227"
Aparecidado Taboado-MS,Aparecida do Taboado-MS,"-20.0840304,-51.1013943"
Apucarana-PR,Apucarana-PR,"-23.5525327,-51.4610764"
Aracaju-SE,Aracaju-SE,"-10.9162061,-37.0774655"
Aracatuba-SP,Araçatuba-SP,"-21.20889,-50.43278"
Araguari-MG,Araguari-MG,"-18.6511256,-48.1933764"
Aral Moreira-MS,Aral Moreira-MS,"-22.951141,-55.6268421"
Arapoti-PR,Arapoti-PR,"-24.1457957,-49.8224605"
Ariranha-SP,Ariranha-SP,"-21.18716,-48.790418"
Assis Chateaubriand-PR,Assis Chateaubriand-PR,"-24.4054826,-53.5120468"
Assis-SP,Assis-SP,"-22.6620892,-50.420623"
Atalaia-AL,Atalaia-AL,"-23.1513833,-52.0529697"
Auriflama-SP,Auriflama-SP,"-20.6840418,-50.5554616"
Bage-RS,Bagé-RS,"-31.3314264,-54.1062808"
Baianopolis-BA,Baianópolis-BA,"-12.3067564,-44.5383591"
Bandeirantes-MS,Bandeirantes-MS,"-19.9179623,-54.3646768"
Barra Bonita-SP,Barra Bonita-SP,"-22.490859,-48.558349"
Barreiras-BA,Barreiras-BA,"-12.1440031,-44.9967406"
Barretos-SP,Barretos-SP,"-20.5531437,-48.5697509"
Bauru-SP,Bauru-SP,"-22.3218102,-49.0705863"
Bela Vista-MS,Bela Vista-MS,"-22.107327,-56.5317344"
Birigui-SP,Birigui-SP,"-21.2908491,-50.34144"
Bocada Mata-AL,Boca da Mata-AL,"-9.6452054,-36.2116658"
Bom Jesusde Goias-GO,Bom Jesus de Goiás-GO,"-18.2174587,-49.739721"
Bonfinopolisde Minas-MG,Bonfinópolis de Minas-MG,"-16.5660011,-45.98645"
Bonito-MS,Bonito-MS,"-21.1264766,-56.4902208"
Brasnorte-MT,Brasnorte-MT,"-12.1227151,-58.0050109"
Buritis-MG,Buritis-MG,"-15.621389,-46.423889"
Buritizeiro-MG,Buritizeiro-MG,"-17.3667765,-44.9647781"
Caarapo-MS,Caarapó-MS,"-22.6349267,-54.8240903"
Cabeceiras-GO,Cabeceiras-GO,"-15.7995459,-46.9264991"
Cabode Santo Agostinho-PE,Cabo de Santo Agostinho-PE,"-8.2838945,-35.0320984"
Cachoeirado Sul-RS,Cachoeira do Sul-RS,"-30.0474778,-52.8905413"
Cachoeira Dourada-MG,Cachoeira Dourada-MG,"-18.515,-49.50139"
Caiaponia-GO,Caiapônia-GO,"-16.9538779,-51.8090761"
Camaqua-RS,Camaquã-RS,"-30.8524752,-51.8075619"
Campina Verde-MG,Campina Verde-MG,"-19.535277,-49.486389"
Campo Alegre-AL,Campo Alegre-AL,"-26.1941684,-49.2657484"
Campo Alegrede Goias-GO,Campo Alegre de Goiás-GO,"-17.6337896,-47.779291"
Campo Ere-SC,Campo Erê-SC,"-26.3947432,-53.0790495"
Campo Florido-MG,Campo Florido-MG,"-19.760833,-48.572223"
